Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume,Daily Return %,MA_10,MA_30,Volatility_10
3425,3451.949951,3417.300049,3436.300049,3436.300049,1387863,0.190977447,3435.3,3437.47334,36.59181176
3388,3419,3355.600098,3414.899902,3414.899902,1067916,-0.622767124,3429.534985,3438.290007,34.55573613
3365,3394.649902,3355.600098,3363.100098,3363.100098,1529349,-1.516876204,3419.85,3437.99834,38.4381535
3380,3387,3361,3373.100098,3373.100098,1585044,0.297344703,3408.930005,3439.030013,33.97794479
3380,3408.949951,3372.25,3390,3390,2421189,0.501019878,3401.890015,3441.315015,29.06713828
3330,3381.800049,3321,3378.399902,3378.399902,1688475,-0.342185782,3398.894995,3441.07168,29.85974258
3317,3353,3298.050049,3334.050049,3334.050049,1843607,-1.312747285,3396.430005,3441.778345,34.24243913
3342.899902,3379,3305,3374.550049,3307.550049,1742837,-0.7948291,3383.82002,3440.968343,41.46901155
3329,3350,3315.550049,3334.350098,3268.148193,2250391,-1.191270137,3369.529834,3436.558285,53.82431626
3290.100098,3349.5,3271.149902,3328.699951,3262.610352,2720512,-0.169448895,3352.815869,3431.518628,58.77003605
3285,3298,3230.100098,3286.399902,3221.150146,3864655,-1.270767929,3331.300879,3425.505298,63.96401814
3229,3327,3221.149902,3319.949951,3254.033936,2885060,1.020871071,3315.214282,3418.939762,60.75100223
3300,3301.550049,3200,3211.550049,3147.786377,2488376,-3.26510298,3293.68291,3407.62264,77.68827363
3330.199951,3337.300049,3281.949951,3311.100098,3245.359863,1826057,3.099749294,3280.908887,3399.096305,73.571946
3306.699951,3327.350098,3286.199951,3314.649902,3248.839111,1231668,0.107206848,3266.792798,3388.789274,63.11404228
3252,3320,3245.300049,3311.350098,3245.60498,1245178,-0.099547281,3253.513306,3379.62111,49.53087677
3261,3266.850098,3235.199951,3261.449951,3196.695557,709547,-1.506943183,3239.777856,3369.507625,43.37848116
3286.050049,3299,3246.199951,3256.699951,3192.039795,1163131,-0.145642959,3228.226831,3359.828955,38.42282913
3231.100098,3271.5,3228,3268.75,3203.850586,1037927,0.370007636,3221.79707,3348.70564,36.32246342
3249.800049,3266.100098,3226,3257.100098,3192.432129,910795,-0.356397925,3214.779248,3337.091707,34.28308565
3269.199951,3273.800049,3231.5,3259.5,3194.784424,835883,0.073683477,3212.142676,3326.247852,34.74935518
3228.350098,3272,3225.050049,3252.899902,3188.315186,870157,-0.202493725,3205.570801,3316.773356,32.05660852
3217,3266.850098,3217,3228.350098,3164.25293,1360281,-0.754701295,3207.217456,3306.916789,29.03952752
3294,3294,3245.100098,3259.699951,3194.980225,1384101,0.971075817,3202.179492,3297.339461,25.88595341
3249,3283.050049,3240,3268.550049,3203.654785,1432566,0.271505906,3197.66106,3288.781291,20.14292651
3198.899902,3249,3163.649902,3243.949951,3179.542969,1529971,-0.752634651,3191.054859,3281.154386,11.76087762
3227,3245.5,3194.5,3202.050049,3138.475098,2120965,-1.291628118,3185.232813,3273.813558,20.10725613
3275,3292,3225.199951,3240.25,3175.916504,2703680,1.192980821,3183.620484,3265.222445,20.14717596
3358.800049,3364.75,3298.949951,3305.100098,3239.479004,1415694,2.001390777,3187.183325,3259.50341,26.32522477
3348.800049,3377,3340.899902,3365.350098,3298.532715,1213311,1.822938532,3197.793384,3255.1295,44.07387778
3277.199951,3336.449951,3267.800049,3332.100098,3265.942871,1378016,-0.988010331,3204.909229,3249.450928,49.00284187
3255.5,3296,3236.100098,3286.449951,3221.199219,1527610,-1.370007185,3208.197632,3242.994238,48.86872684
3374.100098,3374.100098,3276.350098,3292.75,3227.374023,1797896,0.191692708,3214.509741,3238.470036,46.58509784
3360,3380.600098,3339.449951,3350.550049,3284.026611,1285619,1.755377207,3223.41438,3235.50092,50.76066867
